processed,labels
syria attack symptoms consistent nerve agent use victims suspected chemical attack syria appeared show symptoms consistent reaction nerve agent world health organization said  `` cases appear show additional signs consistent exposure organophosphorus chemicals category chemicals includes nerve agents '' said statement putting death toll least 70 united states said deaths caused sarin nerve gas dropped syrian aircraft russia said believes poison gas leaked rebel chemical weapons depot struck syrian bombs sarin organophosporus compound nerve agent chlorine mustard gas also believed used past syria russian defence ministry spokesman say agent used attack said rebels used chemical weapons aleppo last year said likely kind chemical used attack sufferers apparent external injuries died rapid onset similar symptoms including acute respiratory distress said experts turkey giving guidance overwhelmed health workers idlib diagnosis treatment patients medicines atropine antidote types chemical exposure steroids symptomatic treatment sent u.n. commission inquiry human rights syria previously said forces loyal syrian president bashar al-assad used lethal chlorine gas multiple occasions hundreds civilians died sarin gas attack ghouta outskirts damascus  2013 assads government always denied responsibility attack syria agreed destroy chemical weapons 2013 deal brokered moscow washington russia syrian ally china repeatedly vetoed united nations move sanction assad refer situation syria international criminal court `` types weapons banned international law represent intolerable barbarism '' peter salama executive director health emergencies programme said statement reuters,0
0914 homs governor says u.s. attack caused deaths doesnt see big human losses u.s. missile strike airbase near syrian city homs  caused deaths believed resulted `` big human casualties '' homs governor talal barazi said barazi said attack served interests `` armed terrorist groups '' including islamic state adding targeted airbase providing air support army operations islamic state east palmyra barazi speaking series phone interviews media  confirmed deaths airbase phone interview lebanese tv station al-adeen `` believe god willing human casualties big material damage hope many victims tyrs '' told reuters telephone speaking dawn said rescue fire-fighting operations going two hours base said attack form `` support armed terrorist groups attempt weaken capabilities syrian arab army combat terrorism '' speaking syrian state tv barazi said `` syrian leadership syrian policy change `` targeting first dont believe last '' added arate comments al-adeen said `` war terrorism continue '' u.s. president donald trump said ordered missile strikes airfield deadly chemical weapons attack launched week declaring acted americas `` national security interest '' syrian president bashar al-assad u.s. officials said military fired dozens cruise missiles base response suspected gas attack rebel-held area washington blamed assads forces syrian government strongly denied responsibility u.s. strikes `` targeted military positions syria homs specifically '' order publicly `` serve goals terrorism syria goals israel long run '' barazi added interview state tv.-reuters,0
death toll aleppo bomb attack least 112 death toll bomb blast crowded syrian bus convoy outside aleppo reached least 112 people syrian observatory human rights monitoring group said  syrian rescue workers civil defence said carted away least 100 bodies site s blast hit buses carrying shiite residents waited cross rebel government territory evacuation deal warring sides british-based observatory said number expected rise killed mostly residents villages al-foua kefraya idlib province included rebel fighters guarding convoy observatory said immediate claim responsibility attack pro-damascus media said carried suicide car bomber convoy carrying least 5000 people including civilians several hundred pro-government fighters granted safe passage two shiite villages besieged rebels evacuation deal 2000 people including rebel fighters granted safe passage madaya town near damascus besieged government forces allies convoy waiting bus garage government-held area aleppos outskirts miles attack took place madaya evacuees said heard blast -- reuters,0
aleppo bomb blast kills six syrian state tv bomb blast killed six people injured 32 salah al-din district aleppo syrian state television reported  without giving details salah al-din located west aleppos old city district part last rebel enclave taken syrian army advance  -- reuters,0
29 syria rebels dead fighting key aleppo road least 29 syrian rebels killed clashes regime troops overnight failed bid reopen oppositions key supply route aleppo city monitor said  fighters faylaq al-sham islamist faction al-qaeda affiliate al-nusra front killed trying reopen castello road regime forces effectively severed  syrian observatory human rights monitor said. -- afp,0
tue suicide bombing kills least 16 northeast syria suicide bomb blast killed least 16 people mostly kurdish-controlled city hasaka northeastern syria  monitoring group syrian observatory human rights said attacker detonated explosives bakery british-based observatory said several people wounded death toll likely rise number serious injuries immediate claim responsibility bombing islamic state targeted areas hasaka province past including another city qamishli bomb attacks hasaka city rarer recent months kurdish ypg militia controls hasaka province captured large areas territory islamic state northeastern syria last year involved u.s.-backed offensive jihadists west near turkish border -- reuters,0
22 dead heavy u.s. raids syria stronghold six civilians including child among least 22 people killed u.s. air strikes islamic state groups de facto syrian capital   monitor said rest dead raids city raqa fighters syrian observatory human rights said dozens people also wounded u.s.-led coalition launched air war syria last  said carried `` significant '' air strikes raqa `` significant air strikes tonight executed deny daesh ability move military capabilities throughout syria iraq '' spokesman lieutenant colonel thomas gilleran said `` one largest deliberate engagements conducted date syria debilitating effects daeshs ability move raqa '' coalition forces `` successfully engaged multiple targets '' throughout raqa statement said destroying structures transit routes strikes `` severely constricted terrorist freedom movement '' added washington leading coalition fighting syria iraq extremist group proclaimed islamic `` caliphate '' territory control group emerged syria 2013 controls around half countrys territory though much land holds unpopulated desert people killed syria since conflict began  2011.-afp,0
suicide bomber kills 4 assad clans hometown suicide bomber driving ambulance killed four people  unprecedented attack hospital took syrias civil war ruling assad clans hometown first time monitoring group said attack came syrian observatory human rights reported troops executed 48 people earlier week northern village among 10 children `` man drove ambulance packed explosives parking qardaha hospital another man vehicle unclear whether accomplice hostage four people killed attack '' said observatory director rami abdel rahman earlier state television reported blast specify nature attack attack first explosion hit heart western town since outbreak syrias civil war 2011 killed nurse hospital employee two soldiers said observatory director abdel rahman outskirts qardaha previously come rocket fire latakia province town located seen several rounds heavy fighting mausoleum containing graves president bashar assads father predecessor hafez brother bassil located qardaha clan ruled syria iron fist 40 years syrias war began  2011 pro-democracy revolt seeking assads ouster morphed conflict regime unleashed brutal crackdown dissent troops kill 10 children meanwhile observatory said 10 children 13 rebels among 48 people executed government forces northern village rityan earlier week killings took place troops entered town  offensive aimed cutting rebel supply lines turkish border abdel rahman said dead six families `` resistance except one house rebel opened fire troops executed along family '' brief seizure rityan part abortive army offensive week encircle rebel-held east aleppo relieve two besieged shiite villages north  one villages taken government forces recaptured rebels include fighters al-qaeda affiliate al-nusra front heavy fighting claimed lives 129 loyalists 116 rebels including al-nusra commander according observatory toll air raids kill thousands ground offensive failed warplanes kept pounding rebel areas aleppo city parts country  two women two children among eight people killed barrel bomb hit building opposition-held area aleppo city syrias commercial capital six people also reported killed rebel shelling regime-held areas city air force also killed least 10 people rebel areas east damascus  observatory said according group latest 7000 people killed across syria since un security council passed resolution last year ordering end sieges indiscriminate use weapons populated areas observatory `` documented killing 5812 civilians including 1733 children 969 women 3110 men barrel bombings air raids '' past year meanwhile rebel fire regime-held areas killed 1102 people said observatory adding 234 children 313 people died areas army siege past year result food medical shortages despite fact resolution also ordered lifting sieges.-afp,0
explosion rocks town damascus explosion inside bus killed six people injured another ten town damascus according preliminary reports  syrias government run tv said explosion took place al kalassa region syrian capital 19 people injured unspecified number others killed,1
damascus explosion due rocket bomb blast heard  evening area burj rouss qsaa syrian capital damascus due rocket bomb car explosion nna correspondent reported rocket bomb packed heavy explosive material led killing one person injury 40 others addition causing huge material damages within area explosion nna correspondent added quoting syrian national television,0
casualties mount eastern ghouta city regime continues assault tenth day row 120 people killed troops allied syrian regime stepped attacks syrias eastern ghouta governorate focusing city douma around 10km northeast damascus regime aircraft dropped 1000 bombs city least 150 airstrikes past ten days according analysts `` rescue teams volunteers continue search survivors bodies rubble amid mass destruction neighbourhoods '' osama said douma-based media activist told al-araby al-jadeed least 400 people mainly women children injured bombing campaign 500 residential buildings destroyed according citys monitoring documentation office retaliation administration president bashar al-assad said attacks ramped zahran alloush leader army islam merged collection rebel opposition groups declared damascus military zone ar shot hundreds missiles capital rescue teams volunteers continue search survivors bodies osama said media activist latest escalation also attempt regime forces break eastern ghouta controlled army islam douma-based activists drawn worlds attention tragedy using hashtag doumaexterminated arabic equivalent pictures videos city  using hashtag shown dozens severely injured children receiving treatment makeshift hospitals well injured civilians dead bodies pulled rubble `` pictures douma high civilian body count show regime targeting residential areas military sites '' said hisham wah syrian national coalitions snc vice-president regime used policy collective punishment many parts syria since uprising began added wah called international community put pressure assads regime stop massacres immediately `` international alliance add assads positions locations targeting attacks islamic state group syria '' added locations targeted assads troops week eastern ghouta include towns misraba ayn tarma arbin kafr batna al-wafideen refugee camp article edited translation arabic edition also,1
free syrian army nusra front fighters pushed town deir al-adas surrounding areas rebels claim iranian-backed lebanese group wants set permanent base hizballah fighters backed syrian iranian forces pushed nusra front town deir al-adas reports say major offensive daraa governorate london-based syrian observatory human rights said deir al-adas taken  two days fierce fighting regime elements rebels including members nusra al-qaedas affiliate syria fighters free syrian army offensive part operation launched  seize areas intersection point three syrian governorates rif dimashq daraa quneitra near disputed golan heights observatory group said 20 opposition fighters killed fighting including hizballah ambush near deir al-adas groups director rami abdulrahman told afp news agency hizballah leading attack deir al-adas surrounding hills al-araby al-jadeed independently verify reports restoring security official syrian news agency sana quoted military source  saying army able `` restore security '' sanei tal al-hawa tal-arous southwestern countryside damascus tal meri west damascus al-danaji tal antar near deir al-adas opposition local coordination committee deir al-adas said heavy shelling forced free syrian army town `` range firepower '' ayman al-aasmi member fsa southern front command claimed hizballah trying set permanent base north daraa link positions southern lebanon hills mount hermon `` issue retaking towns hills '' said `` hizballah pushed large forces battle mostly made lebanese iraqi militias light regime forces collapse daraa governorate result losses battles opposition forces defections redeployment hot spots governorates '' article edited translation original arabic,1
