processed,labels
syria attack symptom consist nerv agent use victim suspect chemic attack syria appear show symptom consist reaction nerv agent world health organ said  `` case appear show addit sign consist exposur organophosphorus chemic categori chemic includ nerv agent '' said statement put death toll least 70 unit state said death caus sarin nerv gas drop syrian aircraft russia said believ poison gas leak rebel chemic weapon depot struck syrian bomb sarin organophosporus compound nerv agent chlorin mustard gas also believ use past syria russian defenc ministri spokesman say agent use attack said rebel use chemic weapon aleppo last year said like kind chemic use attack suffer appar extern injuri die rapid onset similar symptom includ acut respiratori distress said expert turkey give guidanc overwhelm health worker idlib diagnosi treatment patient medicin atropin antidot type chemic exposur steroid symptomat treatment sent u.n. commiss inquiri human right syria previous said forc loyal syrian presid bashar al-assad use lethal chlorin gas multipl occas hundr civilian die sarin gas attack ghouta outskirt damascus  2013 assad govern alway deni respons attack syria agre destroy chemic weapon 2013 deal broker moscow washington russia syrian alli china repeat veto unit nation move sanction assad refer situat syria intern crimin court `` type weapon ban intern law repres intoler barbar '' peter salama execut director health emerg programm said statement reuter,0
0914 hom governor say u.s. attack caus death doesnt see big human loss u.s. missil strike airbas near syrian citi hom  caus death believ result `` big human casualti '' hom governor talal barazi said barazi said attack serv interest `` arm terrorist group '' includ islam state ad target airbas provid air support armi oper islam state east palmyra barazi speak seri phone interview media  confirm death airbas phone interview lebanes tv station al-adeen `` believ god will human casualti big materi damag hope mani victim tyr '' told reuter telephon speak dawn said rescu fire-fight oper go two hour base said attack form `` support arm terrorist group attempt weaken capabl syrian arab armi combat terror '' speak syrian state tv barazi said `` syrian leadership syrian polici chang `` target first dont believ last '' ad ar comment al-adeen said `` war terror continu '' u.s. presid donald trump said order missil strike airfield dead chemic weapon attack launch week declar act america `` nation secur interest '' syrian presid bashar al-assad u.s. offici said militari fire dozen cruis missil base respons suspect gas attack rebel-held area washington blame assad forc syrian govern strong deni respons u.s. strike `` target militari posit syria hom specif '' order public `` serv goal terror syria goal israel long run '' barazi ad interview state tv.-reuter,0
death toll aleppo bomb attack least 112 death toll bomb blast crowd syrian bus convoy outsid aleppo reach least 112 peopl syrian observatori human right monitor group said  syrian rescu worker civil defenc said cart away least 100 bodi site  blast hit buse carri shiit resid wait cross rebel govern territori evacu deal war side british-bas observatori said number expect rise kill most resid villag al-foua kefraya idlib provinc includ rebel fighter guard convoy observatori said immedi claim respons attack pro-damascus media said carri suicid car bomber convoy carri least 5000 peopl includ civilian sever hundr pro-govern fighter grant safe passag two shiit villag besieg rebel evacu deal 2000 peopl includ rebel fighter grant safe passag madaya town near damascus besieg govern forc alli convoy wait bus garag government-held area aleppo outskirt mile attack took place madaya evacue said heard blast -- reuter,0
aleppo bomb blast kill six syrian state tv bomb blast kill six peopl injur 32 salah al-din district aleppo syrian state televis report  without give detail salah al-din locat west aleppo old citi district part last rebel enclav taken syrian armi advanc decemb -- reuter,0
29 syria rebel dead fight key aleppo road least 29 syrian rebel kill clash regim troop overnight fail bid reopen opposit key suppli rout aleppo citi monitor said  fighter faylaq al-sham islamist faction al-qaeda affili al-nusra front kill tri reopen castello road regim forc effect sever  syrian observatori human right monitor said. -- afp,0
tue suicid bomb kill least 16 northeast syria suicid bomb blast kill least 16 peopl most kurdish-control citi hasaka northeastern syria  monitor group syrian observatori human right said attack deton explos bakeri british-bas observatori said sever peopl wound death toll like rise number serious injuri immedi claim respons bomb islam state target area hasaka provinc past includ anoth citi qamish bomb attack hasaka citi rarer recent month kurdish ypg militia control hasaka provinc captur larg area territori islam state northeastern syria last year involv u.s.-back offens jihadist west near turkish border -- reuter,0
22 dead heavi u.s. raid syria stronghold six civilian includ child among least 22 peopl kill u.s. air strike islam state group de facto syrian capit   monitor said rest dead raid citi raqa fighter syrian observatori human right said dozen peopl also wound u.s.-l coalit launch air war syria last temb said carri `` signific '' air strike raqa `` signific air strike tonight execut deni daesh abil move militari capabl throughout syria iraq '' spokesman lieuten colonel thoma gilleran said `` one largest deliber engag conduct date syria debilit effect daesh abil move raqa '' coalit forc `` success engag multipl target '' throughout raqa statement said destroy structur transit rout strike `` sever constrict terrorist freedom movement '' ad washington lead coalit fight syria iraq extremist group proclaim islam `` caliph '' territori control group emerg syria 2013 control around half countri territori though much land hold unpopul desert peopl kill syria sinc conflict began  2011.-afp,0
suicid bomber kill 4 assad clan hometown suicid bomber drive ambul kill four peopl  unpreced attack hospit took syria civil war rule assad clan hometown first time monitor group said attack came syrian observatori human right report troop execut 48 peopl earlier week northern villag among 10 children `` man drove ambul pack explos park qardaha hospit anoth man vehicl unclear whether accomplic hostag four peopl kill attack '' said observatori director rami abdel rahman earlier state televis report blast specifi natur attack attack first explos hit heart western town sinc outbreak syria civil war 2011 kill nurs hospit employe two soldier said observatori director abdel rahman outskirt qardaha previous come rocket fire latakia provinc town locat seen sever round heavi fight mausoleum contain grave presid bashar assad father predecessor hafez brother bassil locat qardaha clan rule syria iron fist 40 year syria war began  2011 pro-democraci revolt seek assad ouster morph conflict regim unleash brutal crackdown dissent troop kill 10 children meanwhil observatori said 10 children 13 rebel among 48 peopl execut govern forc northern villag rityan earlier week kill took place troop enter town  offens aim cut rebel suppli line turkish border abdel rahman said dead six famili `` resist except one hous rebel open fire troop execut along famili '' brief seizur rityan part abort armi offens week encircl rebel-held east aleppo reliev two besieg shiit villag north  one villag taken govern forc recaptur rebel includ fighter al-qaeda affili al-nusra front heavi fight claim live 129 loyalist 116 rebel includ al-nusra command accord observatori toll air raid kill thousand ground offens fail warplan kept pound rebel area aleppo citi part countri  two women two children among eight peopl kill barrel bomb hit build opposition-held area aleppo citi syria commerci capit six peopl also report kill rebel shell regime-held area citi air forc also kill least 10 peopl rebel area east damascus  observatori said accord group latest 7000 peopl kill across syria sinc un secur council pass resolut last year order end sieg indiscrimin use weapon popul area observatori `` document kill 5812 civilian includ 1733 children 969 women 3110 men barrel bomb air raid '' past year meanwhil rebel fire regime-held area kill 1102 peopl said observatori ad 234 children 313 peopl die area armi sieg past year result food medic shortag despit fact resolut also order lift sieges.-afp,0
explos rock town damascus explos insid bus kill six peopl injur anoth ten town damascus accord preliminari report  syria govern run tv said explos took place al kalassa region syrian capit 19 peopl injur unspecifi number other kill,1
damascus explos due rocket bomb blast heard  even area burj rouss qsaa syrian capit damascus due rocket bomb car explos nna correspond report rocket bomb pack heavi explos materi led kill one person injuri 40 other addit caus huge materi damag within area explos nna correspond ad quot syrian nation televis,0
